fps,Virtual Memory (mb),CPU (%),Move to scene : Persistent,Move to scene : Prepare,Move to scene : Title,
131.74,11.47,3.57,
65.07,11.58,2.02,
60.44,11.59,0.39,
60.40,11.59,0.78,
70.99,11.59,1.58,
61.12,11.59,1.58,
60.81,11.59,1.96,
81.49,11.59,2.42,
60.57,11.59,3.49,
74.18,11.59,1.19,
61.14,11.59,0.39,
60.50,11.59,1.96,
100.68,11.59,2.00,Move to scene : Game,
60.14,12.57,7.09,
60.62,15.05,10.99,
60.45,15.05,9.00,
60.36,15.01,12.04,
60.50,14.89,7.90,
60.84,14.89,9.66,
61.64,15.39,11.54,
60.70,15.52,8.26,
60.76,15.52,10.06,
60.50,16.52,7.87,
60.77,16.73,10.16,
60.61,16.72,13.98,
61.18,16.69,9.01,
60.79,16.67,9.41,
60.43,16.67,11.23,
60.94,16.69,10.94,
60.52,15.69,10.57,
60.63,14.66,11.32,
60.71,14.66,10.94,
60.77,14.66,11.79,
60.90,14.66,11.24,
60.52,14.66,9.11,
60.90,14.66,10.46,
60.52,14.66,10.51,
60.64,14.66,10.13,
60.98,14.66,12.14,
60.38,14.70,9.45,
60.79,14.70,12.43,
60.56,14.71,12.06,
60.75,14.71,8.67,
60.36,14.71,8.17,
60.82,14.71,11.26,
60.72,14.71,9.09,
60.60,14.71,9.33,
60.81,14.76,15.18,
60.46,14.87,10.29,
60.60,14.88,11.62,
60.82,14.88,10.89,
60.54,14.88,7.05,
60.69,14.88,10.28,
60.36,14.88,12.74,Move to scene : Ending,
60.37,18.89,6.96,
60.46,22.23,1.97,
60.60,22.23,4.30,
60.81,22.23,3.88,
60.56,22.23,3.49,
60.88,22.23,2.39,
60.21,22.14,4.22,
60.99,22.02,4.31,
60.45,22.02,2.37,
61.00,22.02,1.94,
60.54,22.02,2.32,
60.72,22.02,2.36,
60.61,22.02,2.72,
60.66,22.02,2.73,
68.84,22.02,1.20,
60.62,22.02,2.35,Move to scene : Game,
60.28,23.35,9.39,
60.40,24.71,10.64,
60.64,24.71,9.74,
60.80,24.71,12.21,
60.39,24.71,7.74,
61.02,24.79,9.81,
60.58,22.83,12.84,
60.46,17.77,8.56,
61.00,17.71,9.90,
60.64,17.71,14.37,
60.65,17.71,12.81,
60.57,15.99,9.48,
60.74,15.49,10.09,
60.85,15.49,8.20,
60.45,15.49,12.50,
60.70,15.49,10.28,
60.15,15.49,10.68,
60.61,15.49,12.82,
60.40,15.49,12.22,
61.28,15.49,10.16,
60.69,15.49,10.42,
61.16,15.50,12.64,
60.61,15.53,10.17,
60.68,15.54,8.98,
60.49,15.61,11.66,
60.81,15.61,12.84,
60.58,15.61,10.21,
60.77,15.61,9.66,Move to scene : Ending,
59.67,17.92,8.49,
60.67,22.64,4.35,
60.31,22.64,3.09,
60.75,22.64,2.73,
60.81,22.64,3.52,
60.46,22.64,1.96,
60.37,22.64,3.50,
60.50,22.55,4.30,
60.42,22.52,3.12,
60.72,22.52,3.52,
60.78,22.52,3.13,
60.50,22.52,1.17,
60.68,22.52,3.54,
60.87,22.52,2.36,
65.13,22.52,3.14,
60.34,22.52,1.18,
60.81,22.52,2.32,Move to scene : Title,
60.43,22.58,3.41,
60.56,22.67,1.17,
67.26,22.67,1.99,
60.76,22.61,3.90,
60.53,22.45,2.74,
80.53,22.45,1.77,
60.76,20.88,2.70,
60.60,14.35,1.18,
60.54,13.96,1.17,
77.12,13.88,1.19,
60.43,13.88,4.35,
60.62,13.88,2.31,Move to scene : Game,
59.08,16.70,7.07,
61.26,18.11,10.68,
60.63,18.11,11.74,
60.55,18.16,13.12,
60.71,18.35,11.47,
61.16,18.31,8.96,
60.60,18.20,11.64,
60.62,17.89,10.93,
60.45,17.71,8.34,
60.23,17.71,9.37,
60.22,17.43,6.54,
60.90,15.86,15.85,
60.62,15.88,11.19,
60.33,15.88,7.50,
60.40,15.88,13.62,
60.76,15.88,12.38,
60.49,15.88,11.33,
60.75,15.88,9.46,
60.72,15.87,13.27,
60.52,15.87,12.02,
60.63,15.87,13.06,
60.64,15.87,11.56,
60.71,15.88,8.60,
60.54,15.88,7.08,
60.78,15.88,11.28,
60.73,15.88,10.21,
60.54,15.88,9.01,
60.89,15.88,13.89,
60.96,15.88,10.57,
60.51,15.88,10.57,
60.65,15.88,11.68,
60.59,15.88,14.44,
60.87,15.88,11.05,
60.60,15.89,12.56,
60.82,15.89,9.35,
60.41,15.89,10.89,
60.72,15.89,12.77,
60.67,15.89,14.19,
60.80,15.88,12.45,
60.69,15.87,10.52,
60.30,15.87,14.59,
61.09,15.87,13.69,Move to scene : Ending,
59.01,17.64,13.03,
69.48,23.04,0.79,
66.90,23.04,2.39,
60.90,23.04,3.52,
60.76,23.04,3.12,
60.60,23.04,3.56,
60.45,23.04,1.54,
60.69,23.02,2.76,
60.29,23.01,1.95,
60.69,23.01,3.11,
60.62,23.01,3.89,
60.61,23.01,2.36,
60.48,23.01,1.94,
60.66,23.01,2.37,
60.55,23.01,3.89,
